gene_symbol,entrez_id,compound_id
ADRB2,154,BRD-K00003668
HMGCR,3156,BRD-K00003672
ADRB2,154,BRD-K00003690
CHRM1,1128,BRD-K00003691
KDM1A,23028,BRD-K00003699
MAOA,4128,BRD-K00003699
MAOB,4129,BRD-K00003699
ABCC8,6833,BRD-K00003701
ADRB2,154,BRD-K00003701
KCNJ11,3767,BRD-K00003701
TRHR,7201,BRD-K00003716
GLP1R,2740,BRD-K00003717
ADRB2,154,BRD-K00003719
GRIN2B,2904,BRD-K00004210
NR1H4,9971,BRD-K00004242
ATP4A,495,BRD-K00004280
ATP4B,496,BRD-K00004280
CACNA1B,774,BRD-K00004281
SLC6A2,6530,BRD-K00004287
SLC6A4,6532,BRD-K00004287
CHRM3,1131,BRD-K00004291
CCR5,1234,BRD-K00004293
ATP1A1,476,BRD-K00004302
ABCC1,4363,BRD-K00004525
FPR1,2357,BRD-K00004525
SLC22A12,116085,BRD-K00004525
DRD1,1812,BRD-K00004560
DRD2,1813,BRD-K00004560
HTR1A,3350,BRD-K00004560
HTR2A,3356,BRD-K00004560
PGR,5241,BRD-K00004691
PTGS2,5743,BRD-K00004714
GABBR1,2550,BRD-K00004970
GABBR2,9568,BRD-K00004970
KCNH2,3757,BRD-K00005347
KCNQ1,3784,BRD-K00005347
NR3C1,2908,BRD-K00025439
NR3C1,2908,BRD-K00025572
NR3C1,2908,BRD-K00025599
SERPINA6,866,BRD-K00025599
NR3C1,2908,BRD-K00029602
ESR1,2099,BRD-K00029603
ESR2,2100,BRD-K00029603
MAP1A,4130,BRD-K00029603
MAP2,4133,BRD-K00029603
ESR1,2099,BRD-K00077635
ESR2,2100,BRD-K00077635
MAP1A,4130,BRD-K00077635
MAP2,4133,BRD-K00077635
TOP2A,7153,BRD-K00094013
GLRA1,2741,BRD-K00259736
GLRA2,2742,BRD-K00259736
TUBA1A,7846,BRD-K00259736
TUBA1B,10376,BRD-K00259736
TUBA1C,84790,BRD-K00259736
TUBA3C,7278,BRD-K00259736
TUBA3D,113457,BRD-K00259736
TUBA3E,112714,BRD-K00259736
TUBA4A,7277,BRD-K00259736
TUBB,203068,BRD-K00259736
TUBB1,81027,BRD-K00259736
TUBB2A,7280,BRD-K00259736
TUBB2B,347733,BRD-K00259736
TUBB3,10381,BRD-K00259736
TUBB4A,10382,BRD-K00259736
TUBB4B,10383,BRD-K00259736
TUBB6,84617,BRD-K00259736
TUBB8,347688,BRD-K00259736
TOP2A,7153,BRD-K00494077
HMGCR,3156,BRD-K00495673
ACE,1636,BRD-K00573984
P2RY12,64805,BRD-K00603606
HRH2,3274,BRD-K00673382
CARS,833,BRD-K00795468
CARS2,79587,BRD-K00795468
CBS,875,BRD-K00795468
CDO-1,,BRD-K00795468
CDO1,1036,BRD-K00795468
CSAD,51380,BRD-K00795468
CTH,1491,BRD-K00795468
GCLC,2729,BRD-K00795468
GCLM,2730,BRD-K00795468
GOT1,2805,BRD-K00795468
GSS,2937,BRD-K00795468
MGMT,4255,BRD-K00795468
NFS1,9054,BRD-K00795468
SLC19A3,80704,BRD-K00795468
NR3C1,2908,BRD-K00824317
SERPINA6,866,BRD-K00824317
DRD2,1813,BRD-K00911143
CBR1,873,BRD-K01039503
AKR1D1,6718,BRD-K01095011
SRD5A1,6715,BRD-K01095011
SRD5A2,6716,BRD-K01095011
FCGR1A,2209,BRD-K01292611
FECH,2235,BRD-K01292611
CACNA1I,8911,BRD-K01292756
CALM1,801,BRD-K01292756
DRD1,1812,BRD-K01292756
DRD2,1813,BRD-K01292756
DRD3,1814,BRD-K01292756
DRD4,1815,BRD-K01292756
DRD5,1816,BRD-K01292756
HRH1,3269,BRD-K01292756
HTR1A,3350,BRD-K01292756
HTR2A,3356,BRD-K01292756
KCNA10,3744,BRD-K01292756
KCNH2,3757,BRD-K01292756
NR1I2,8856,BRD-K01507359
SLCO1A2,6579,BRD-K01507359
SLCO1B1,10599,BRD-K01507359
SLCO1B3,28234,BRD-K01507359
ADORA1,134,BRD-K01577834
ADORA2A,135,BRD-K01577834
ADORA2B,136,BRD-K01577834
ADORA3,140,BRD-K01577834
PI4K2A,55361,BRD-K01577834
PI4K2B,55300,BRD-K01577834
TRPM4,54795,BRD-K01577834
ANO1,55107,BRD-K01584643
ADRA2A,150,BRD-K01638814
CHRM1,1128,BRD-K01663662
CHRM2,1129,BRD-K01663662
CHRM3,1131,BRD-K01663662
CHRM4,1132,BRD-K01663662
EPRS,2058,BRD-K01666412
L3HYPDH,112849,BRD-K01666412
P3H1,64175,BRD-K01666412
P3H2,55214,BRD-K01666412
P3H3,10536,BRD-K01666412
P4HA1,5033,BRD-K01666412
P4HA2,8974,BRD-K01666412
PARS2,25973,BRD-K01666412
PPIA,5478,BRD-K01666412
PPIB,5479,BRD-K01666412
PPIC,5480,BRD-K01666412
PPIF,10105,BRD-K01666412
PPIG,9360,BRD-K01666412
PPIH,10465,BRD-K01666412
PRODH,5625,BRD-K01666412
PROSC,11212,BRD-K01666412
PYCR1,5831,BRD-K01666412
PYCR2,29920,BRD-K01666412
PYCRL,65263,BRD-K01666412
SLC6A14,11254,BRD-K01666412
SLC6A7,6534,BRD-K01666412
HRH1,3269,BRD-K01674964
HRH2,3274,BRD-K01674964
HRH3,11255,BRD-K01674964
HRH4,59340,BRD-K01674964
PGR,5241,BRD-K01824969
AHCY,191,BRD-K01824972
AKR1A1,10327,BRD-K01824972
ALDH2,217,BRD-K01824972
BLVRA,644,BRD-K01824972
DHPS,1725,BRD-K01824972
DLD,1738,BRD-K01824972
GALE,2582,BRD-K01824972
HMGCR,3156,BRD-K01824972
HSD17B1,3292,BRD-K01824972
HSD17B4,3295,BRD-K01824972
IMPDH2,3615,BRD-K01824972
MGAM,8972,BRD-K01824972
P2RY11,5032,BRD-K01824972
SORD,6652,BRD-K01824972
TRPM2,7226,BRD-K01824972
CHRM1,1128,BRD-K01824983
CHRM2,1129,BRD-K01824983
CHRM3,1131,BRD-K01824983
CHRM4,1132,BRD-K01824983
CHRM5,1133,BRD-K01824983
KCNH2,3757,BRD-K01824987
KCNQ1,3784,BRD-K01824987
PLA2G1B,5319,BRD-K01824991
CHRM1,1128,BRD-K01825000
CHRM2,1129,BRD-K01825000
CHRM3,1131,BRD-K01825000
CHRM4,1132,BRD-K01825000
CHRM5,1133,BRD-K01825000
ACE,1636,BRD-K01825005
P2RY11,5032,BRD-K01825013
P2RY2,5029,BRD-K01825013
P2RY4,5030,BRD-K01825013
P2RY6,5031,BRD-K01825013
UCK2,7371,BRD-K01825013
ADRA1D,146,BRD-K01825098
ADRB1,153,BRD-K01825098
ADRB2,154,BRD-K01825098
SCN10A,6336,BRD-K01825102
SCN9A,6335,BRD-K01825102
CACNA1C,775,BRD-K01825117
CACNA1D,776,BRD-K01825117
CACNA1F,778,BRD-K01825117
CACNA1S,779,BRD-K01825117
CACNA2D1,781,BRD-K01825117
ADRB2,154,BRD-K01825118
ADRA1A,148,BRD-K01825125
ADRA1B,147,BRD-K01825125
ADRA1D,146,BRD-K01825125
ADRA1A,148,BRD-K01825126
ADRA1B,147,BRD-K01825126
ADRA1D,146,BRD-K01825126
ADRA2A,150,BRD-K01825126
GPRC6A,222545,BRD-K01825132
HRH1,3269,BRD-K01825159
SLC6A2,6530,BRD-K01825162
SLC6A3,6531,BRD-K01825162
SLC6A4,6532,BRD-K01825162
ADRB1,153,BRD-K01825579
ADRB2,154,BRD-K01825579
CHRM1,1128,BRD-K01825580
CHRM2,1129,BRD-K01825580
CHRM3,1131,BRD-K01825580
ADRA1A,148,BRD-K01825585
CACNA1C,775,BRD-K01825587
CACNA1D,776,BRD-K01825587
CYP17A1,1586,BRD-K01825590
ADRB1,153,BRD-K01825592
ADRB2,154,BRD-K01825592
SCN5A,6331,BRD-K01825595
SLC6A2,6530,BRD-K01825598
SLC6A3,6531,BRD-K01825598
SLC6A4,6532,BRD-K01825598
SLC6A2,6530,BRD-K01825599
SLC6A3,6531,BRD-K01825599
SLC6A4,6532,BRD-K01825599
NACHR,,BRD-K01825660
GIRK,,BRD-K01825662
GRIN2B,2904,BRD-K01825662
NR1A,,BRD-K01825662
NR2B,2904,BRD-K01825662
CHRM1,1128,BRD-K01825666
CHRM2,1129,BRD-K01825666
CHRM3,1131,BRD-K01825666
MMP8,4317,BRD-K01825679
CYP19A1,1588,BRD-K01825690
CYP1A2,1544,BRD-K01825690
CYP2B6,1555,BRD-K01825690
CYP2C9,1559,BRD-K01825690
CYP2J2,1573,BRD-K01825690
CYP3A4,1576,BRD-K01825690
CYP3A5,1577,BRD-K01825690
NR1I2,8856,BRD-K01825690
PPARA,5465,BRD-K01825690
PTGER2,5732,BRD-K01825690
PTGS2,5743,BRD-K01825691
ABAT,18,BRD-K01825700
SLC32A1,140679,BRD-K01825700
CYP2J2,1573,BRD-K01825729
PTGS1,5742,BRD-K01825750
PTGS2,5743,BRD-K01825750
ADRB1,153,BRD-K01825817
ADRB2,154,BRD-K01825817
ADRB1,153,BRD-K01825842
SCN5A,6331,BRD-K01826024
HRH1,3269,BRD-K01826026
PDE3A,5139,BRD-K01826269
OPRD1,4985,BRD-K01826304
OPRK1,4986,BRD-K01826304
OPRM1,4988,BRD-K01826304
30S-RIBOSOMAL SUBUNIT,,BRD-K01826328
GABRA1,2554,BRD-K01826330
GABRA2,2555,BRD-K01826330
GABRA3,2556,BRD-K01826330
GABRA5,2558,BRD-K01826330
DDC,1644,BRD-K01826478
HTR3A,3359,BRD-K01826507
HTR3B,9177,BRD-K01826507
HTR3C,170572,BRD-K01826507
HTR3D,200909,BRD-K01826507
HTR3E,285242,BRD-K01826507
HRH1,3269,BRD-K01826510
TRPM2,7226,BRD-K01826511
TRPV5,56302,BRD-K01826511
CFTR,1080,BRD-K01826515
ADRA1A,148,BRD-K01826519
ADRA1B,147,BRD-K01826519
ADRA1D,146,BRD-K01826519
SCN10A,6336,BRD-K01826519
SCN11A,11280,BRD-K01826519
SCN1A,6323,BRD-K01826519
SCN2A,6326,BRD-K01826519
SCN3A,6328,BRD-K01826519
SCN4A,6329,BRD-K01826519
SCN5A,6331,BRD-K01826519
SCN7A,6332,BRD-K01826519
SCN8A,6334,BRD-K01826519
SCN9A,6335,BRD-K01826519
HRH1,3269,BRD-K01826520
CHRM1,1128,BRD-K01826529
CHRM5,1133,BRD-K01826531
ADRB1,153,BRD-K01826535
ADRB2,154,BRD-K01826535
ADRB3,155,BRD-K01826535
ADRB1,153,BRD-K01826541
ADRB2,154,BRD-K01826541
KCNA5,3741,BRD-K01826541
KCNH2,3757,BRD-K01826541
HTR3A,3359,BRD-K01826546
HTR3B,9177,BRD-K01826546
HTR3C,170572,BRD-K01826546
HTR3D,200909,BRD-K01826546
HTR3E,285242,BRD-K01826546
SLC6A2,6530,BRD-K01826548
SLC6A4,6532,BRD-K01826548
CCKAR,886,BRD-K01826553
CCKBR,887,BRD-K01826553
30S-RIBOSOMAL SUBUNIT,,BRD-K01826559
NR1I3,9970,BRD-K01826560
ADRA1A,148,BRD-K01826561
ADRB1,153,BRD-K01826568
ADRB2,154,BRD-K01826568
ADRA1A,148,BRD-K01826569
ADRA1B,147,BRD-K01826569
ADRA1D,146,BRD-K01826569
MAOA,4128,BRD-K01826702
GABBR1,2550,BRD-K01826724
GABBR2,9568,BRD-K01826724
KCTD12,115207,BRD-K01826724
KCTD16,57528,BRD-K01826724
KCTD8,386617,BRD-K01826724
SLC6A2,6530,BRD-K01826729
SLC6A3,6531,BRD-K01826729
ADRB2,154,BRD-K01826731
FFAR1,2864,BRD-K01826734
PPARG,5468,BRD-K01826734
TRPC5,7224,BRD-K01826734
TRPM3,80036,BRD-K01826734
PTGS1,5742,BRD-K01826742
PTGS2,5743,BRD-K01826742
HRH1,3269,BRD-K01826745
PTGS1,5742,BRD-K01826746
PTGS2,5743,BRD-K01826746
CHRM1,1128,BRD-K01826750
HTR3A,3359,BRD-K01826751
HTR3B,9177,BRD-K01826751
ADRB2,154,BRD-K01826763
ATP4A,495,BRD-K01826765
SCN5A,6331,BRD-K01826767
CHRM1,1128,BRD-K01826778
CHRM2,1129,BRD-K01826778
CHRM3,1131,BRD-K01826778
CHRM4,1132,BRD-K01826778
CHRM5,1133,BRD-K01826778
DRD1,1812,BRD-K01826790
DRD4,1815,BRD-K01826790
DRD1,1812,BRD-K01826798
PPARG,5468,BRD-K01826904
TRPM3,80036,BRD-K01826904
CHRM1,1128,BRD-K01827265
CHRM3,1131,BRD-K01827265
ACHE,43,BRD-K01827268
SLC1A2,6506,BRD-K01827268
AKR1B1,231,BRD-K01827279
HRH1,3269,BRD-K01827280
PTGS1,5742,BRD-K01827286
SLC5A8,160728,BRD-K01827286
DRD2,1813,BRD-K01827307
HTR2A,3356,BRD-K01827307
PARP1,142,BRD-K02113016
PARP2,10038,BRD-K02113016
HDAC1,3065,BRD-K02130563
HDAC2,3066,BRD-K02130563
HDAC3,8841,BRD-K02130563
HDAC4,9759,BRD-K02130563
HDAC6,10013,BRD-K02130563
HDAC7,51564,BRD-K02130563
HDAC8,55869,BRD-K02130563
HDAC9,9734,BRD-K02130563
CELA1,1990,BRD-K02152879
ELANE,1991,BRD-K02152879
ADRA1A,148,BRD-K02265150
ADRA1B,147,BRD-K02265150
ADRA1D,146,BRD-K02265150
ADRA2A,150,BRD-K02265150
ADRA2B,151,BRD-K02265150
ADRA2C,152,BRD-K02265150
CHRM1,1128,BRD-K02265150
CHRM2,1129,BRD-K02265150
CHRM3,1131,BRD-K02265150
CHRM4,1132,BRD-K02265150
CHRM5,1133,BRD-K02265150
DRD1,1812,BRD-K02265150
DRD2,1813,BRD-K02265150
DRD3,1814,BRD-K02265150
DRD4,1815,BRD-K02265150
DRD5,1816,BRD-K02265150
GABRA1,2554,BRD-K02265150
GABRA2,2555,BRD-K02265150
GABRA3,2556,BRD-K02265150
GABRA4,2557,BRD-K02265150
GABRA5,2558,BRD-K02265150
GABRA6,2559,BRD-K02265150
GABRB1,2560,BRD-K02265150
GABRB2,2561,BRD-K02265150
GABRB3,2562,BRD-K02265150
GABRD,2563,BRD-K02265150
GABRE,2564,BRD-K02265150
GABRG1,2565,BRD-K02265150
GABRG2,2566,BRD-K02265150
GABRG3,2567,BRD-K02265150
GABRP,2568,BRD-K02265150
GABRQ,55879,BRD-K02265150
HRH1,3269,BRD-K02265150
HRH4,59340,BRD-K02265150
HTR1A,3350,BRD-K02265150
HTR1B,3351,BRD-K02265150
HTR2A,3356,BRD-K02265150
HTR2B,3357,BRD-K02265150
HTR2C,3358,BRD-K02265150
HTR3A,3359,BRD-K02265150
HTR6,3362,BRD-K02265150
HTR7,3363,BRD-K02265150
SLC6A2,6530,BRD-K02265150
SLC6A3,6531,BRD-K02265150
SLC6A4,6532,BRD-K02265150
AR,367,BRD-K02314383
ADORA1,134,BRD-K02404261
ADORA2A,135,BRD-K02404261
ADORA2B,136,BRD-K02404261
ADORA3,140,BRD-K02404261
ATM,472,BRD-K02404261
ITPR1,3708,BRD-K02404261
ITPR2,3709,BRD-K02404261
ITPR3,3710,BRD-K02404261
PDE10A,10846,BRD-K02404261
PDE11A,50940,BRD-K02404261
PDE1A,5136,BRD-K02404261
PDE1B,5153,BRD-K02404261
PDE1C,5137,BRD-K02404261
PDE2A,5138,BRD-K02404261
PDE3A,5139,BRD-K02404261
PDE3B,5140,BRD-K02404261
PDE4A,5141,BRD-K02404261
PDE4B,5142,BRD-K02404261
PDE4C,5143,BRD-K02404261
PDE4D,5144,BRD-K02404261
PDE5A,8654,BRD-K02404261
PDE6A,5145,BRD-K02404261
PDE6B,5158,BRD-K02404261
PDE6C,5146,BRD-K02404261
PDE7A,5150,BRD-K02404261
PDE7B,27115,BRD-K02404261
PDE8A,5151,BRD-K02404261
PDE8B,8622,BRD-K02404261
PDE9A,5152,BRD-K02404261
PIK3CA,5290,BRD-K02404261
PIK3CB,5291,BRD-K02404261
PIK3CD,5293,BRD-K02404261
PRKDC,5591,BRD-K02404261
RYR1,6261,BRD-K02404261
RYR2,6262,BRD-K02404261
RYR3,6263,BRD-K02404261
NR3C1,2908,BRD-K02528732
CYP2C19,1557,BRD-K02594908
CYP2C9,1559,BRD-K02594908
CYP2D6,1565,BRD-K02594908
CYP2E1,1571,BRD-K02594908
CYP3A4,1576,BRD-K02594908
CA12,771,BRD-K02637541
PDPK1,5170,BRD-K02637541
PTGS2,5743,BRD-K02637541
ACHE,43,BRD-K02867583
CHRM1,1128,BRD-K02867583
DRD1,1812,BRD-K02867583
DRD2,1813,BRD-K02867583
HTR2A,3356,BRD-K02867583
HTR2B,3357,BRD-K02867583
HTR2C,3358,BRD-K02867583
MAOA,4128,BRD-K02867583
SLC6A4,6532,BRD-K02867583
VDR,7421,BRD-K02965577
ADRA1A,148,BRD-K02976377
ADRA1B,147,BRD-K02976377
ADRA1D,146,BRD-K02976377
ADRA2A,150,BRD-K02976377
ADRA2B,151,BRD-K02976377
ADRA2C,152,BRD-K02976377
SLC6A2,6530,BRD-K02976377
DRD2,1813,BRD-K02995728
KCNJ11,3767,BRD-K03095347
KCNJ8,3764,BRD-K03095347
PDE3A,5139,BRD-K03095347
TNNC1,7134,BRD-K03095347
PPARA,5465,BRD-K03165895
PPARD,5467,BRD-K03165895
PPARG,5468,BRD-K03165895
PDE4A,5141,BRD-K03194791
PDE4B,5142,BRD-K03194791
PDE4C,5143,BRD-K03194791
PDE4D,5144,BRD-K03194791
TYMS,7298,BRD-K03243820
SLC6A2,6530,BRD-K03319035
NOXO1,124056,BRD-K03353589
MAP2K1,5604,BRD-K03390685
DNMT1,1786,BRD-K03406345
DNMT3A,1788,BRD-K03406345
TUBB,203068,BRD-K03601870
TYR,7299,BRD-K03981224
DRD2,1813,BRD-K04111260
DRD3,1814,BRD-K04111260
HTR1A,3350,BRD-K04111260
PTGS1,5742,BRD-K04112579
PTGS2,5743,BRD-K04112579
DRD1,1812,BRD-K04175245
DRD2,1813,BRD-K04175245
HRH1,3269,BRD-K04175245
HTR2A,3356,BRD-K04175245
SCN10A,6336,BRD-K04185004
SCN10A,6336,BRD-K04196797
SCN11A,11280,BRD-K04196797
SCN1A,6323,BRD-K04196797
SCN2A,6326,BRD-K04196797
SCN3A,6328,BRD-K04196797
SCN4A,6329,BRD-K04196797
SCN5A,6331,BRD-K04196797
SCN7A,6332,BRD-K04196797
SCN8A,6334,BRD-K04196797
SCN9A,6335,BRD-K04196797
TUBA1A,7846,BRD-K04269837
TUBA1B,10376,BRD-K04269837
TUBA1C,84790,BRD-K04269837
TUBA3C,7278,BRD-K04269837
TUBA3D,113457,BRD-K04269837
TUBA3E,112714,BRD-K04269837
TUBA4A,7277,BRD-K04269837
TUBB,203068,BRD-K04269837
TUBB1,81027,BRD-K04269837
TUBB2A,7280,BRD-K04269837
TUBB2B,347733,BRD-K04269837
TUBB3,10381,BRD-K04269837
TUBB4A,10382,BRD-K04269837
TUBB4B,10383,BRD-K04269837
TUBB6,84617,BRD-K04269837
TUBB8,347688,BRD-K04269837
LCT,3938,BRD-K04288422
AR,367,BRD-K04394237
NR3C2,4306,BRD-K04394237
PGR,5241,BRD-K04394237
CHD1,1105,BRD-K04548931
TOP2A,7153,BRD-K04548931
TOP2A,7153,BRD-K04804440
FDPS,2224,BRD-K05185389
AGER,177,BRD-K05319475
DPP4,1803,BRD-K05355328
CHAT,1103,BRD-K05395900
CHRNA10,57053,BRD-K05395900
CHRNA2,1135,BRD-K05395900
CHRNA3,1136,BRD-K05395900
CHRNA4,1137,BRD-K05395900
CHRNA5,1138,BRD-K05395900
CHRNA6,8973,BRD-K05395900
CHRNA7,1139,BRD-K05395900
CHRNA9,55584,BRD-K05395900
CHRNB2,1141,BRD-K05395900
CHRNB3,1142,BRD-K05395900
CHRNB4,1143,BRD-K05395900
CYP19A1,1588,BRD-K05395900
TBXAS1,6916,BRD-K05395900
TRPA1,8989,BRD-K05395900
ADRA1A,148,BRD-K05524748
ADRA1B,147,BRD-K05524748
ADRA1D,146,BRD-K05524748
ADRA2A,150,BRD-K05524748
ADRA2B,151,BRD-K05524748
ADRA2C,152,BRD-K05524748
ADRB1,153,BRD-K05524748
CACNA1C,775,BRD-K05524748
CACNA1D,776,BRD-K05524748
CACNA1F,778,BRD-K05524748
CACNA1S,779,BRD-K05524748
CACNB1,782,BRD-K05524748
CACNB2,783,BRD-K05524748
CACNB3,784,BRD-K05524748
CACNB4,785,BRD-K05524748
KCNA5,3741,BRD-K05524748
KCNH2,3757,BRD-K05524748
KCNK2,3776,BRD-K05524748
SCN1A,6323,BRD-K05524748
ATP2C1,27032,BRD-K05638300
ATP5D,513,BRD-K05638300
GABRA1,2554,BRD-K05638300
GABRA2,2555,BRD-K05638300
GABRA3,2556,BRD-K05638300
GABRA4,2557,BRD-K05638300
GABRA5,2558,BRD-K05638300
GABRA6,2559,BRD-K05638300
GABRB1,2560,BRD-K05638300
GABRB2,2561,BRD-K05638300
GABRB3,2562,BRD-K05638300
GABRD,2563,BRD-K05638300
GABRE,2564,BRD-K05638300
GABRG1,2565,BRD-K05638300
GABRG2,2566,BRD-K05638300
GABRG3,2567,BRD-K05638300
GABRP,2568,BRD-K05638300
GABRQ,55879,BRD-K05638300
GLRA1,2741,BRD-K05638300
GLRB,2743,BRD-K05638300
GRIA1,2890,BRD-K05638300
KCNA1,3736,BRD-K05638300
KCNK10,54207,BRD-K05638300
KCNK18,338567,BRD-K05638300
KCNK2,3776,BRD-K05638300
KCNK3,3777,BRD-K05638300
KCNK9,51305,BRD-K05638300
MT-ND1,4535,BRD-K05638300
SLC5A1,6523,BRD-K05850076
SLC5A2,6524,BRD-K05850076
ATP4A,495,BRD-K05900209
TRPV1,7442,BRD-K05907307
CYP51A1,1595,BRD-K05977355
ARG2,384,BRD-K06033833
ASL,435,BRD-K06033833
ASS1,445,BRD-K06033833
AZIN2,113451,BRD-K06033833
GPRC6A,222545,BRD-K06033833
NOS2,4843,BRD-K06033833
NOS3,4846,BRD-K06033833
SLC7A1,6541,BRD-K06033833
SLC7A3,84889,BRD-K06033833
SLC7A4,6545,BRD-K06033833
ATP2C1,27032,BRD-K06152156
ATP5D,513,BRD-K06152156
GABRA1,2554,BRD-K06152156
GABRA2,2555,BRD-K06152156
GABRA3,2556,BRD-K06152156
GABRA4,2557,BRD-K06152156
GABRA5,2558,BRD-K06152156
GABRA6,2559,BRD-K06152156
GABRB1,2560,BRD-K06152156
GABRB2,2561,BRD-K06152156
GABRB3,2562,BRD-K06152156
GABRD,2563,BRD-K06152156
GABRE,2564,BRD-K06152156
GABRG1,2565,BRD-K06152156
GABRG2,2566,BRD-K06152156
GABRG3,2567,BRD-K06152156
GABRP,2568,BRD-K06152156
GABRQ,55879,BRD-K06152156
GLRA1,2741,BRD-K06152156
GLRB,2743,BRD-K06152156
GRIA1,2890,BRD-K06152156
KCNA1,3736,BRD-K06152156
MT-ND1,4535,BRD-K06152156
CHRM2,1129,BRD-K06181161
CYP3A4,1576,BRD-K06222852
NR1I2,8856,BRD-K06240250
SCN10A,6336,BRD-K06240250
ADRA2A,150,BRD-K06335600
ADRA2B,151,BRD-K06335600
ADRA2C,152,BRD-K06335600
NISCH,11188,BRD-K06335600
ADRA2A,150,BRD-K06388322
ADRA2B,151,BRD-K06388322
ADRA2C,152,BRD-K06388322
DRD1,1812,BRD-K06388322
DRD2,1813,BRD-K06388322
DRD3,1814,BRD-K06388322
DRD4,1815,BRD-K06388322
DRD5,1816,BRD-K06388322
HTR1A,3350,BRD-K06388322
HTR1B,3351,BRD-K06388322
HTR1D,3352,BRD-K06388322
HTR2A,3356,BRD-K06388322
HTR2B,3357,BRD-K06388322
HTR2C,3358,BRD-K06388322
NR3C2,4306,BRD-K06408664
EGLN1,54583,BRD-K06455935
BHMT,635,BRD-K06502269
BHMT2,23743,BRD-K06502269
METAP2,10988,BRD-K06502269
MTR,4548,BRD-K06502269
MTRR,4552,BRD-K06502269
JUN,3725,BRD-K06519765
TUBA1A,7846,BRD-K06519765
TUBB,203068,BRD-K06519765
TUBD1,51174,BRD-K06519765
TUBE1,51175,BRD-K06519765
TUBG1,7283,BRD-K06519765
CYP2C19,1557,BRD-K06557128
CYP2C9,1559,BRD-K06557128
CYP3A4,1576,BRD-K06557128
CYP3A5,1577,BRD-K06557128
PTGS1,5742,BRD-K06557128
ASIC1,41,BRD-K06674495
ASIC2,40,BRD-K06674495
ASIC3,9311,BRD-K06674495
C1R,715,BRD-K06674495
PRSS1,5644,BRD-K06674495
TPSAB1,7177,BRD-K06674495
TRPM7,54822,BRD-K06674495
UGT1A6,54578,BRD-K06878038
HTR2A,3356,BRD-K06895174
HTR3A,3359,BRD-K06895174
HTR4,3360,BRD-K06895174
KCNH2,3757,BRD-K06895174
ABCC9,10060,BRD-K06902185
KCNJ1,3758,BRD-K06902185
KCNJ10,3766,BRD-K06902185
KCNJ11,3767,BRD-K06902185
KCNJ8,3764,BRD-K06902185
PTGS1,5742,BRD-K06902185
ADRA1A,148,BRD-K06980535
ADRA1B,147,BRD-K06980535
ADRA1D,146,BRD-K06980535
CHRM1,1128,BRD-K06980535
CHRM2,1129,BRD-K06980535
CHRM3,1131,BRD-K06980535
CHRM4,1132,BRD-K06980535
CHRM5,1133,BRD-K06980535
DRD1,1812,BRD-K06980535
DRD2,1813,BRD-K06980535
DRD3,1814,BRD-K06980535
DRD4,1815,BRD-K06980535
HRH1,3269,BRD-K06980535
HTR2A,3356,BRD-K06980535
HTR2C,3358,BRD-K06980535
DHFR,1719,BRD-K07208025
TYMS,7298,BRD-K07208025
MAOA,4128,BRD-K07237224
MAOB,4129,BRD-K07237224
TOP2A,7153,BRD-K07265709
TOP2B,7155,BRD-K07265709
APP,351,BRD-K07572174
CA1,759,BRD-K07572174
CA12,771,BRD-K07572174
CA14,23632,BRD-K07572174
CA2,760,BRD-K07572174
CA4,762,BRD-K07572174
CA6,765,BRD-K07572174
CA9,768,BRD-K07572174
CHRM3,1131,BRD-K07572174
CYP3A4,1576,BRD-K07572174
DNMT3B,1789,BRD-K07572174
EP300,2033,BRD-K07572174
MMP13,4322,BRD-K07572174
MMP9,4318,BRD-K07572174
NOS2,4843,BRD-K07572174
PTGS1,5742,BRD-K07572174
PTGS2,5743,BRD-K07572174
XDH,7498,BRD-K07572174
TOP2A,7153,BRD-K07612980
OPRD1,4985,BRD-K07857022
OPRK1,4986,BRD-K07857022
OPRM1,4988,BRD-K07857022
GP9,2815,BRD-K07940445
KCNB2,9312,BRD-K07940445
KCNN4,3783,BRD-K07940445
SLC29A4,222962,BRD-K07940445
CD55,1604,BRD-K08111712
FPGS,2356,BRD-K08151102
TYMS,7298,BRD-K08151102
MTOR,2475,BRD-K08177763
VDR,7421,BRD-K08251020
AKR1C3,8644,BRD-K08252256
ALOX5,240,BRD-K08252256
ASIC1,41,BRD-K08252256
ASIC3,9311,BRD-K08252256
KCNQ2,3785,BRD-K08252256
KCNQ3,3786,BRD-K08252256
PLA2G2A,5320,BRD-K08252256
PPARG,5468,BRD-K08252256
PTGS1,5742,BRD-K08252256
PTGS2,5743,BRD-K08252256
SCN4A,6329,BRD-K08252256
HTR1A,3350,BRD-K08255599
HTR1B,3351,BRD-K08255599
HTR1D,3352,BRD-K08255599
KRT12,3859,BRD-K08273968
ACHE,43,BRD-K08303368
ADRA1A,148,BRD-K08356259
ADRA1B,147,BRD-K08356259
ADRA1D,146,BRD-K08356259
ADRA2A,150,BRD-K08356259
ADRA2B,151,BRD-K08356259
ADRA2C,152,BRD-K08356259
TOP1,7150,BRD-K08547377
TOP1MT,116447,BRD-K08547377
PTGDR2,11251,BRD-K08586861
TBXA2R,6915,BRD-K08586861
ADRA1A,148,BRD-K08619574
ADRA1B,147,BRD-K08619574
DRD1,1812,BRD-K08619574
DRD2,1813,BRD-K08619574
