moa,compound_id
antihistamine,BRD-A22769835
cyclooxygenase inhibitor,BRD-A22844106
cytochrome P450 inhibitor,BRD-A23067620
histamine receptor antagonist,BRD-A23072235
cyclooxygenase inhibitor,BRD-A23418262
RNA polymerase inhibitor,BRD-A23603052
bacterial cell wall synthesis inhibitor,BRD-A23712469
glutamate receptor antagonist,BRD-A23970436
bacterial DNA gyrase inhibitor,BRD-A24228527
protein synthesis inhibitor,BRD-A24297246
ribosomal protein inhibitor,BRD-A24297246
bacterial DNA gyrase inhibitor,BRD-A24397426
vitamin K antagonist,BRD-A24514565
adrenergic receptor agonist,BRD-A24587114
glucocorticoid receptor agonist,BRD-A25143711
glucocorticoid receptor antagonist,BRD-A25234499
protein synthesis inhibitor,BRD-A25492003
benzodiazepine receptor agonist,BRD-A25579302
antiprotozoal agent,BRD-A25608658
aromatase inhibitor,BRD-A25619068
antiarrhythmic,BRD-A26334849
carbonic anhydrase inhibitor,BRD-A26384407
adrenergic receptor agonist,BRD-A26387268
serotonin receptor agonist,BRD-A26387268
aromatase inhibitor,BRD-A26503646
HIV protease inhibitor,BRD-A26690767
calcium channel blocker,BRD-A26711594
dipeptidyl peptidase inhibitor,BRD-A27084604
calcium channel blocker,BRD-A27370296
voltage-gated sodium channel blocker,BRD-A27732521
glucocorticoid receptor agonist,BRD-A27887842
adrenergic receptor antagonist,BRD-A28044053
monoamine oxidase inhibitor,BRD-A28545468
adrenergic receptor agonist,BRD-A28856712
chloride channel blocker,BRD-A28940325
progestogen hormone,BRD-A29111201
adrenergic receptor antagonist,BRD-A29260609
antitussive,BRD-A29349577
histamine receptor antagonist,BRD-A29426959
androgen receptor antagonist,BRD-A29485665
dopamine reuptake inhibitor,BRD-A29644307
noradrenaline uptake inhibitor,BRD-A29644307
11-beta hydroxysteroid dehydrogenase inhibitor,BRD-A29700858
progesterone receptor agonist,BRD-A29731977
sodium channel blocker,BRD-A29734509
adrenergic receptor antagonist,BRD-A29944538
hydantoin antiepileptic,BRD-A30205217
glycoside agonist,BRD-A30370660
fungal lanosterol demethylase inhibitor,BRD-A30774155
lanosterol demethylase inhibitor,BRD-A30774155
calcium channel blocker,BRD-A30815329
protein synthesis inhibitor,BRD-A30886737
vasopressin receptor antagonist,BRD-A31095847
selective serotonin reuptake inhibitor (SSRI),BRD-A31159102
antineoplastic agent,BRD-A31204924
muscle relaxant,BRD-A31521121
inhaled anaesthetic,BRD-A31564021
acetylcholine receptor antagonist,BRD-A31800922
antispasmodic,BRD-A31800922
mucolytic agent,BRD-A32597168
acetylcholine receptor agonist,BRD-A32673558
vasoconstrictor,BRD-A32988684
sterol demethylase inhibitor,BRD-A33084557
adrenergic receptor antagonist,BRD-A33168282
histamine receptor antagonist,BRD-A33178345
anthelmintic agent,BRD-A33447119
angiotensin converting enzyme inhibitor,BRD-A33506612
bacterial cell wall synthesis inhibitor,BRD-A33697453
acetylcholine receptor antagonist,BRD-A33711280
cyclooxygenase inhibitor,BRD-A33749298
protein synthesis inhibitor,BRD-A33801468
adrenergic receptor agonist,BRD-A33894669
cyclooxygenase inhibitor,BRD-A34006693
bacterial cell wall synthesis inhibitor,BRD-A34205213
glucocorticoid receptor agonist,BRD-A34299591
serotonin receptor antagonist,BRD-A34358106
vitamin analog,BRD-A34455052
cyclooxygenase inhibitor,BRD-A34603619
bacterial 30S ribosomal subunit inhibitor,BRD-A34788695
topoisomerase inhibitor,BRD-A35588707
dopamine receptor agonist,BRD-A35931254
glucocorticoid receptor agonist,BRD-A36010170
uricosuric blocker,BRD-A36217750
adrenergic receptor agonist,BRD-A36267905
fungal ergosterol inhibitor,BRD-A37348498
membrane integrity inhibitor,BRD-A37390343
adrenergic receptor agonist,BRD-A37441042
radiopaque medium,BRD-A37492983
DeltaF508-CFTR Correctors,BRD-A38076815
cystic fibrosis transmembrane conductance regulator inhibitor,BRD-A38076815
sterol demethylase inhibitor,BRD-A38350138
antioxidant,BRD-A38592941
glutamate receptor modulator,BRD-A38675539
androgen receptor modulator,BRD-A38706605
serotonin receptor agonist,BRD-A39052811
cyclooxygenase inhibitor,BRD-A39172021
adrenergic receptor agonist,BRD-A39189014
progesterone receptor agonist,BRD-A39791822
antioxidant,BRD-A39830855
bacterial cell wall synthesis inhibitor,BRD-A40472231
other antibiotic,BRD-A40546373
cyclooxygenase inhibitor,BRD-A40639672
bacterial DNA gyrase inhibitor,BRD-A40787240
thiazide diuretic,BRD-A41250306
