moa,compound_id
phosphodiesterase inhibitor,BRD-K21152241
glutamate inhibitor,BRD-K21283037
bacterial cell wall synthesis inhibitor,BRD-K21372554
carbonic anhydrase inhibitor,BRD-K21450440
PABA antagonist,BRD-K21520694
glucocorticoid receptor agonist,BRD-K21528677
sodium channel blocker,BRD-K21548250
adrenergic receptor agonist,BRD-K21565985
angiotensin receptor antagonist,BRD-K21586122
urease inhibitor,BRD-K21615095
fungal ergosterol inhibitor,BRD-K21656326
topoisomerase inhibitor,BRD-K21680192
Abl kinase inhibitor,BRD-K21718444
Aurora kinase inhibitor,BRD-K21718444
FLT3 inhibitor,BRD-K21718444
cyclooxygenase inhibitor,BRD-K21733600
antiseptic,BRD-K21771665
histamine receptor antagonist,BRD-K21884483
muscle relaxant,BRD-K22009844
prostanoid receptor antagonist,BRD-K22031190
HMGCR inhibitor,BRD-K22134346
ALK tyrosine kinase receptor inhibitor,BRD-K22149900
histamine receptor antagonist,BRD-K22421059
retinoid receptor ligand,BRD-K22429181
potassium channel blocker,BRD-K22482860
histamine receptor antagonist,BRD-K22556255
bacterial cell wall synthesis inhibitor,BRD-K22641081
DNA polymerase inhibitor,BRD-K22662435
antiprotozoal agent,BRD-K22685337
dopamine reuptake inhibitor,BRD-K22936972
bacterial 50S ribosomal subunit inhibitor,BRD-K22938173
neuraminidase inhibitor,BRD-K23067689
bacterial cell wall synthesis inhibitor,BRD-K23200955
DNA inhibitor,BRD-K23204545
androgen receptor antagonist,BRD-K23566484
protein synthesis inhibitor,BRD-K23586533
transthyretin amyloid inhibitor,BRD-K23728141
acetylcholinesterase inhibitor,BRD-K23779958
tachykinin antagonist,BRD-K23848629
vitamin K antagonist,BRD-K23913458
prostanoid receptor agonist,BRD-K23976833
FLT3 inhibitor,BRD-K23984367
KIT inhibitor,BRD-K23984367
PDGFR tyrosine kinase receptor inhibitor,BRD-K23984367
RAF inhibitor,BRD-K23984367
RET tyrosine kinase inhibitor,BRD-K23984367
VEGFR inhibitor,BRD-K23984367
calcium channel blocker,BRD-K24023109
androgen biosynthesis inhibitor,BRD-K24048528
dopamine receptor agonist,BRD-K24219278
acetylcholinesterase inhibitor,BRD-K24221957
anti-inflammatory agent,BRD-K24452555
glucocorticoid receptor agonist,BRD-K24452555
glutamate receptor negative allosteric modulator,BRD-K24548560
HMGCR inhibitor,BRD-K24616672
immunosuppressant,BRD-K24697665
acetylcholine receptor antagonist,BRD-K24723746
thymidylate synthase inhibitor,BRD-K24844714
bacterial cell wall synthesis inhibitor,BRD-K24871708
HCV inhibitor,BRD-K24943235
prostanoid receptor agonist,BRD-K25015158
other antibiotic,BRD-K25029121
contrast agent,BRD-K25106841
protein synthesis inhibitor,BRD-K25209357
oxytocin receptor agonist,BRD-K25243230
cyclooxygenase inhibitor,BRD-K25394294
norepinephrine reputake inhibitor,BRD-K25433859
tricyclic antidepressant,BRD-K25433859
dihydrofolate reductase inhibitor,BRD-K25494650
acetylcholinesterase inhibitor,BRD-K25650355
cholinesterase inhibitor,BRD-K25650355
angiotensin receptor antagonist,BRD-K25723200
fungal ergosterol inhibitor,BRD-K25770965
bacterial 50S ribosomal subunit inhibitor,BRD-K25837718
purinergic receptor antagonist,BRD-K25838957
dopamine receptor antagonist,BRD-K25943794
serotonin receptor antagonist,BRD-K25943794
vitamin K antagonist,BRD-K25991148
corticosteroid agonist,BRD-K26024145
glutamate receptor antagonist,BRD-K26262077
cyclooxygenase inhibitor,BRD-K26404903
prostanoid receptor agonist,BRD-K26521938
GABA receptor antagonist,BRD-K26619122
bacterial 50S ribosomal subunit inhibitor,BRD-K26634012
interferon inducer,BRD-K26657438
toll-like receptor agonist,BRD-K26657438
FXR antagonist,BRD-K26674531
estrogen receptor agonist,BRD-K26674531
progesterone receptor agonist,BRD-K26674531
bronchodilator,BRD-K26739552
dopamine receptor antagonist,BRD-K26801045
aryl hydrocarbon receptor agonist,BRD-K26862302
cyclooxygenase inhibitor,BRD-K26901728
estrogenic hormone,BRD-K27062708
bacterial cell wall synthesis inhibitor,BRD-K27130738
histamine receptor antagonist,BRD-K27184429
sodium channel blocker,BRD-K27217864
anti-inflammatory agent,BRD-K27293958
vitamin D receptor agonist,BRD-K27316855
progesterone receptor agonist,BRD-K27351809
membrane permeability enhancer,BRD-K27352494
antimalarial agent,BRD-K27382019
carbonic anhydrase inhibitor,BRD-K27393415
bacterial cell wall synthesis inhibitor,BRD-K27515606
purinergic receptor antagonist,BRD-K27721098
protein synthesis inhibitor,BRD-K27771035
bacterial cell wall synthesis inhibitor,BRD-K27798832
adrenergic receptor agonist,BRD-K27853494
bacterial cell wall synthesis inhibitor,BRD-K27871792
dopamine receptor antagonist,BRD-K27898013
serotonin receptor antagonist,BRD-K28029915
histamine receptor antagonist,BRD-K28143534
dihydrofolate reductase inhibitor,BRD-K28183345
bacterial cell wall synthesis inhibitor,BRD-K28210218
bacterial cell wall synthesis inhibitor,BRD-K28224173
androgen receptor antagonist,BRD-K28307902
RNA polymerase inhibitor,BRD-K28346421
PABA antagonist,BRD-K28494619
HDAC inhibitor,BRD-K28537285
prostanoid receptor antagonist,BRD-K28542495
angiotensin converting enzyme inhibitor,BRD-K28550399
excipient,BRD-K28595280
fatty acid synthase inhibitor,BRD-K28667793
phosphodiesterase inhibitor,BRD-K28687144
dopamine receptor antagonist,BRD-K28761384
melatonin receptor agonist,BRD-K28761891
cyclooxygenase inhibitor,BRD-K28849549
lipoxygenase inhibitor,BRD-K28849549
prostanoid receptor antagonist,BRD-K28849549
protein synthesis stimulant,BRD-K28912512
bacterial cell wall synthesis inhibitor,BRD-K28935038
histamine receptor agonist,BRD-K28936863
histamine receptor antagonist,BRD-K28936863
leukotriene receptor antagonist,BRD-K28936863
phosphodiesterase inhibitor,BRD-K28936863
sterol demethylase inhibitor,BRD-K29113274
lactamase inhibitor,BRD-K29229654
coenzyme A precursor,BRD-K29392254
PI3K inhibitor,BRD-K29415052
DNA inhibitor,BRD-K29458283
angiotensin converting enzyme inhibitor,BRD-K29462201
histamine receptor modulator,BRD-K29530284
gastrin inhibitor,BRD-K29570907
dopamine receptor antagonist,BRD-K29582115
serotonin receptor antagonist,BRD-K29582115
calcium channel blocker,BRD-K29582677
acetylcholine receptor antagonist,BRD-K29626940
carbonic anhydrase inhibitor,BRD-K29653726
glutamate receptor antagonist,BRD-K29653726
kainate receptor antagonist,BRD-K29653726
antihistamine,BRD-K29713308
sigma receptor agonist,BRD-K29812331
PDGFR tyrosine kinase receptor inhibitor,BRD-K29905972
VEGFR inhibitor,BRD-K29905972
glycosylated protein precursor,BRD-K29918010
estrogen receptor antagonist,BRD-K29950728
acetylcholinesterase inhibitor,BRD-K29996876
renin inhibitor,BRD-K30020243
bacterial DNA inhibitor,BRD-K30114692
bacterial cell wall synthesis inhibitor,BRD-K30177383
cytochrome P450 inhibitor,BRD-K30213273
histamine receptor antagonist,BRD-K30240666
5 alpha reductase inhibitor,BRD-K30373883
diuretic,BRD-K30374899
adrenergic receptor antagonist,BRD-K30421593
glucocorticoid receptor agonist,BRD-K30468934
electrolyte reabsorption inhibitor,BRD-K30480208
thromboxane receptor antagonist,BRD-K30480208
ACAT inhibitor,BRD-K30553453
protein synthesis inhibitor,BRD-K30563334
tubulin polymerization inhibitor,BRD-K30577245
opioid receptor antagonist,BRD-K30634073
carbonic anhydrase inhibitor,BRD-K30649484
serotonin receptor agonist,BRD-K30652337
thyroid hormone stimulant,BRD-K30685142
glucocorticoid receptor agonist,BRD-K30697463
cosmetic moisturizer,BRD-K30758549
other antibiotic,BRD-K30764557
histamine receptor antagonist,BRD-K30816563
"nuclear factor erythroid derived, like (NRF2) activator",BRD-K31111078
cholesterol inhibitor,BRD-K31139048
JAK inhibitor,BRD-K31283835
HCN channel blocker,BRD-K31385749
potassium channel blocker,BRD-K31385749
sodium channel blocker,BRD-K31385749
protein synthesis inhibitor,BRD-K31484631
glucocorticoid receptor agonist,BRD-K31627533
bacterial antifolate,BRD-K31682896
EGFR inhibitor,BRD-K31698212
mediator release inhibitor,BRD-K31731454
adrenergic receptor antagonist,BRD-K31812033
estrogen receptor agonist,BRD-K31920458
topoisomerase inhibitor,BRD-K31965398
DNA synthesis inhibitor,BRD-K32007074
bacterial antifolate,BRD-K32021043
DNA alkylating agent,BRD-K32107296
ATP channel blocker,BRD-K32164935
GABA receptor antagonist,BRD-K32247306
bacterial antifolate,BRD-K32273377
potassium channel blocker,BRD-K32311154
DNA polymerase inhibitor,BRD-K32318651
DNA methyltransferase inhibitor,BRD-K32744045
TRPV agonist,BRD-K32744045
aldehyde dehydrogenase inhibitor,BRD-K32744045
potassium-competitive acid antagonist,BRD-K32768103
apoptosis stimulant,BRD-K32786395
bacterial cell wall synthesis inhibitor,BRD-K32791151
dehydrogenase inhibitor,BRD-K32821942
adrenergic receptor agonist,BRD-K32830106
dihydrofolate reductase inhibitor,BRD-K32842773
thymidylate synthase inhibitor,BRD-K32842773
androgen receptor antagonist,BRD-K32977963
protein synthesis inhibitor,BRD-K33082088
ribonucleotide reductase inhibitor,BRD-K33106058
retinoid receptor agonist,BRD-K33127281
adrenergic receptor antagonist,BRD-K33133047
glutamate receptor antagonist,BRD-K33211335
sigma receptor agonist,BRD-K33211335
HIV protease inhibitor,BRD-K33226500
CC chemokine receptor antagonist,BRD-K33240821
glycosyl transferase inhibitor,BRD-K33251802
ATPase inhibitor,BRD-K33277808
adrenergic receptor agonist,BRD-K33335792
aromatase inhibitor,BRD-K33425534
histamine receptor antagonist,BRD-K33453211
interleukin receptor agonist,BRD-K33483813
cholinesterase reactivator,BRD-K33588785
contrast agent,BRD-K33623053
immunostimulant,BRD-K33623053
serotonin receptor agonist,BRD-K33637378
serotonin receptor agonist,BRD-K33681278
prostanoid receptor agonist,BRD-K33682646
mycolic synthesis inhibitor,BRD-K33710385
opioid receptor antagonist,BRD-K33732501
protein synthesis inhibitor,BRD-K33742430
mucolytic agent,BRD-K33809398
bacterial 50S ribosomal subunit inhibitor,BRD-K33813875
chloride channel activator,BRD-K33814251
HCN channel blocker,BRD-K33972682
potassium channel blocker,BRD-K33972682
sodium channel blocker,BRD-K33972682
ribonucleotide reductase inhibitor,BRD-K34022604
glucocorticoid receptor agonist,BRD-K34032314
bacterial cell wall synthesis inhibitor,BRD-K34058848
non-nucleoside reverse transcriptase inhibitor,BRD-K34068325
cytochrome P450 inhibitor,BRD-K34098590
sodium/potassium/chloride transporter inhibitor,BRD-K34098590
histamine receptor antagonist,BRD-K34157611
cationic surfactant,BRD-K34234316
angiotensin converting enzyme inhibitor,BRD-K34332569
bacterial cell wall synthesis inhibitor,BRD-K34388247
DNA alkylating agent,BRD-K34411947
histamine receptor antagonist,BRD-K34415467
angiotensin converting enzyme inhibitor,BRD-K34441861
adrenergic receptor agonist,BRD-K34469523
anti-inflammatory agent,BRD-K34566599
interferon inducer,BRD-K34568562
dopamine receptor antagonist,BRD-K34685430
serotonin receptor antagonist,BRD-K34685430
dopamine analog,BRD-K34730807
dopamine precursor,BRD-K34730807
insulin secretagogue,BRD-K34776109
endothelin receptor antagonist,BRD-K34843150
phosphodiesterase inhibitor,BRD-K34888156
adrenergic receptor antagonist,BRD-K35034482
estrogen receptor agonist,BRD-K35189033
glucocorticoid receptor antagonist,BRD-K35189033
progesterone receptor agonist,BRD-K35189033
progesterone receptor antagonist,BRD-K35189033
glucocorticoid receptor agonist,BRD-K35240538
glucocorticoid receptor agonist,BRD-K35245662
nootropic agent,BRD-K35458079
DNA alkylating agent,BRD-K35520305
dopamine receptor antagonist,BRD-K35559145
adrenergic receptor antagonist,BRD-K35586044
dihydropyrimidine dehydrogenase inhibitor,BRD-K35687421
serotonin receptor agonist,BRD-K35719256
fungal squalene epoxidase inhibitor,BRD-K35775715
local anesthetic,BRD-K35798650
serotonin receptor antagonist,BRD-K35941380
DNA replication inhibitor,BRD-K35960502
STAT inhibitor,BRD-K35960502
bacterial 30S ribosomal subunit inhibitor,BRD-K36062294
psychoactive drug,BRD-K36116267
coloring agent,BRD-K36163066
dopamine receptor antagonist,BRD-K36207157
DNA alkylating agent,BRD-K36234266
DNA inhibitor,BRD-K36234266
alcohol dehydrogenase inhibitor,BRD-K36368047
HIV integrase inhibitor,BRD-K36386086
dipeptidyl peptidase inhibitor,BRD-K36407194
antioxidant,BRD-K36474365
mucolytic agent,BRD-K36513555
bacterial 30S ribosomal subunit inhibitor,BRD-K36524108
retinoid receptor agonist,BRD-K36627727
cyclooxygenase inhibitor,BRD-K36660044
adrenergic receptor antagonist,BRD-K36732695
calcium channel blocker,BRD-K36756879
bacterial 50S ribosomal subunit inhibitor,BRD-K36796419
phenylalanine 4-hydroxylase stimulant,BRD-K36859431
sodium/potassium/chloride transporter inhibitor,BRD-K36862742
ATP channel blocker,BRD-K36927236
insulin secretagogue,BRD-K36927236
sulfonylurea,BRD-K36927236
chelating agent,BRD-K37111771
coagulation factor inhibitor,BRD-K37130656
histamine receptor antagonist,BRD-K37249724
bacterial cell wall synthesis inhibitor,BRD-K37252028
glucocorticoid receptor antagonist,BRD-K37270826
progesterone receptor antagonist,BRD-K37270826
dopamine receptor antagonist,BRD-K37289225
serotonin receptor antagonist,BRD-K37289225
vasopressin receptor antagonist,BRD-K37385792
calcium channel modulator,BRD-K37516142
cholinergic receptor antagonist,BRD-K37543758
psychoactive drug,BRD-K37688416
histamine receptor antagonist,BRD-K37694030
protein synthesis inhibitor,BRD-K37753391
anxiolytic,BRD-K37793595
topoisomerase inhibitor,BRD-K37798499
dopamine receptor antagonist,BRD-K37814297
penicillin binding protein inhibitor,BRD-K37848908
platelet aggregation inhibitor,BRD-K37872686
structural glycoprotein antagonist,BRD-K37872686
bone resorption inhibitor,BRD-K37949327
selective serotonin reuptake inhibitor (SSRI),BRD-K37991163
steroid,BRD-K38003476
progesterone receptor agonist,BRD-K38041788
radiopaque medium,BRD-K38140108
thrombin inhibitor,BRD-K38168441
solute carrier family member inhibitor,BRD-K38197229
dopamine receptor antagonist,BRD-K38305202
protein synthesis inhibitor,BRD-K38310698
ribosomal protein inhibitor,BRD-K38310698
cyclooxygenase inhibitor,BRD-K38323065
norepinephrine reputake inhibitor,BRD-K38436528
serotonin reuptake inhibitor,BRD-K38436528
DNA directed RNA polymerase inhibitor,BRD-K38512030
growth factor receptor activator,BRD-K38580127
bacterial 50S ribosomal subunit inhibitor,BRD-K38684403
5 alpha reductase inhibitor,BRD-K38704569
glucocorticoid receptor agonist,BRD-K38775274
DNA inhibitor,BRD-K38820178
flavanone glycoside,BRD-K38903228
adrenergic receptor agonist,BRD-K38911213
anti-inflammatory agent,BRD-K38938675
autotaxin inhibitor,BRD-K39120595
glucocorticoid receptor agonist,BRD-K39188321
adrenergic receptor antagonist,BRD-K39252998
cyclooxygenase inhibitor,BRD-K39339537
histamine receptor antagonist,BRD-K39462424
androgen receptor antagonist,BRD-K39479472
antimalarial agent,BRD-K39621635
progestogen hormone,BRD-K39707084
bacterial 50S ribosomal subunit inhibitor,BRD-K39746403
dopamine receptor antagonist,BRD-K39915878
serotonin receptor antagonist,BRD-K39915878
PPAR receptor agonist,BRD-K39965020
FGFR inhibitor,BRD-K39974922
KIT inhibitor,BRD-K39974922
PDGFR tyrosine kinase receptor inhibitor,BRD-K39974922
VEGFR inhibitor,BRD-K39974922
glucocorticoid receptor agonist,BRD-K39983086
phospholipase inhibitor,BRD-K39983086
laxative,BRD-K39987650
adrenergic receptor antagonist,BRD-K40227168
3-beta-D-glucan synthase inhibitor,BRD-K40407248
fungal 1,BRD-K40407248
thrombopoietin receptor agonist,BRD-K40496271
acetylcholine receptor antagonist,BRD-K40530731
adenosine receptor antagonist,BRD-K40645748
hemoglobin antagonist,BRD-K40645748
protein synthesis inhibitor,BRD-K40645748
HIV protease inhibitor,BRD-K40758068
laxative,BRD-K40787673
adrenergic receptor antagonist,BRD-K40902647
sodium channel blocker,BRD-K40905133
antiinfective drug,BRD-K40992116
bacterial cell wall synthesis inhibitor,BRD-K41051431
androgen receptor antagonist,BRD-K41141507
G protein-coupled receptor agonist,BRD-K41170226
biliverdin reductase A activator,BRD-K41170226
endothelin receptor antagonist,BRD-K41185545
protein synthesis stimulant,BRD-K41256143
HDAC inhibitor,BRD-K41260949
benzodiazepine receptor agonist,BRD-K41260949
PABA antagonist,BRD-K41406082
cyclooxygenase inhibitor,BRD-K41410256
opioid receptor antagonist,BRD-K41458421
cyclooxygenase inhibitor,BRD-K41524689
phosphoenolpyruvate carboxylase activator,BRD-K41707108
serine/threonine protein phosphatase activator,BRD-K41707108
antibacterial agent,BRD-K41731458
prostaglandin inhibitor,BRD-K41866823
tricyclic antidepressant,BRD-K42098891
gonadotropin releasing factor hormone receptor antagonist,BRD-K42140276
cholesterol inhibitor,BRD-K42260897
niemann-pick c1-like 1 protein antagonist,BRD-K42260897
angiotensin converting enzyme inhibitor,BRD-K42317111
adrenergic receptor agonist,BRD-K42348709
serotonin receptor agonist,BRD-K42348709
antitussive,BRD-K42596464
adrenergic receptor antagonist,BRD-K42635745
EGFR inhibitor,BRD-K42805893
adrenergic receptor agonist,BRD-K42816473
FLT3 inhibitor,BRD-K42828737
KIT inhibitor,BRD-K42828737
PDGFR tyrosine kinase receptor inhibitor,BRD-K42828737
RET tyrosine kinase inhibitor,BRD-K42828737
VEGFR inhibitor,BRD-K42828737
mTOR inhibitor,BRD-K42898655
dopamine receptor antagonist,BRD-K42938903
acetylcholine receptor antagonist,BRD-K43106192
bile acid,BRD-K43164539
acetylcholine receptor antagonist,BRD-K43305603
serotonin receptor antagonist,BRD-K43383936
RNA synthesis inhibitor,BRD-K43389675
topoisomerase inhibitor,BRD-K43389675
carbonic anhydrase inhibitor,BRD-K43457670
calcium channel blocker,BRD-K43586850
sigma receptor agonist,BRD-K43786866
protease inhibitor,BRD-K43806473
antineoplastic agent,BRD-K43860855
glutamate receptor modulator,BRD-K43880410
adrenergic receptor antagonist,BRD-K43883465
dopamine receptor agonist,BRD-K43887077
bacterial cell wall synthesis inhibitor,BRD-K43966364
immune response stimulator,BRD-K43977121
adenosine receptor agonist,BRD-K44004064
antiseptic,BRD-K44091963
beta lactamase inhibitor,BRD-K44133266
selective estrogen receptor modulator (SERM),BRD-K44184170
Bcr-Abl kinase inhibitor,BRD-K44227013
FLT3 inhibitor,BRD-K44227013
PDGFR tyrosine kinase receptor inhibitor,BRD-K44227013
fungal squalene epoxidase inhibitor,BRD-K44273375
glucosidase inhibitor,BRD-K44276885
insulin secretagogue,BRD-K44353683
interferon receptor agonist,BRD-K44442813
interleukin receptor agonist,BRD-K44442813
glucosidase inhibitor,BRD-K44779798
anticonvulsant,BRD-K44824027
hedgehog pathway inhibitor,BRD-K44827188
smoothened receptor antagonist,BRD-K44827188
progesterone receptor agonist,BRD-K44932450
voltage-gated sodium channel modulator,BRD-K44942188
cholinergic receptor antagonist,BRD-K44942604
purinergic receptor antagonist,BRD-K44974079
adrenergic receptor agonist,BRD-K45014108
DNA polymerase inhibitor,BRD-K45033733
membrane integrity inhibitor,BRD-K45071273
bacterial antifolate,BRD-K45086103
fungal ergosterol inhibitor,BRD-K45107378
bacterial cell wall synthesis inhibitor,BRD-K45114938
mucus protecting agent,BRD-K45125084
angiotensin receptor antagonist,BRD-K45158365
bacterial permeability inducer,BRD-K45170529
PPAR receptor agonist,BRD-K45252063
gonadotropin releasing factor hormone receptor agonist,BRD-K45300898
bacterial cell wall synthesis inhibitor,BRD-K45319714
estrogen receptor agonist,BRD-K45330754
angiotensin receptor agonist,BRD-K45503887
lipoxygenase inhibitor,BRD-K45542189
glucocorticoid receptor agonist,BRD-K45664306
dopamine receptor antagonist,BRD-K45861246
bacterial DNA gyrase inhibitor,BRD-K45916615
phosphodiesterase inhibitor,BRD-K45924332
NFkB pathway inhibitor,BRD-K45995181
PPAR receptor agonist,BRD-K46018455
progesterone receptor agonist,BRD-K46061689
adrenergic receptor antagonist,BRD-K46211610
DNA polymerase inhibitor,BRD-K46435977
DNA polymerase inhibitor,BRD-K46493214
topical anesthetic,BRD-K46523383
mineralocorticoid receptor antagonist,BRD-K46556543
angiotensin converting enzyme inhibitor,BRD-K46654563
acetylcholine receptor antagonist,BRD-K46692793
acetylcholine receptor antagonist,BRD-K46731503
pregnane X receptor agonist,BRD-K46741531
serotonin receptor antagonist,BRD-K46742498
calcium channel activator,BRD-K46839850
mTOR inhibitor,BRD-K46843573
cytochrome P450 inhibitor,BRD-K46862739
selective serotonin reuptake inhibitor (SSRI),BRD-K46914825
cyclooxygenase inhibitor,BRD-K46937689
bacterial cell wall synthesis inhibitor,BRD-K46970505
monoamine oxidase inhibitor,BRD-K47029922
mucus protecting agent,BRD-K47031502
antioxidant,BRD-K47114202
nitric oxide stimulant,BRD-K47178855
apoptosis stimulant,BRD-K47190141
platelet aggregation inhibitor,BRD-K47192521
histamine receptor antagonist,BRD-K47278471
dopamine receptor antagonist,BRD-K47289124
vitamin D receptor agonist,BRD-K47318833
histamine receptor antagonist,BRD-K47323024
analgesic agent,BRD-K47407372
vitamin K antagonist,BRD-K47458712
cyclooxygenase inhibitor,BRD-K47492008
chelating agent,BRD-K47608922
mucolytic agent,BRD-K47631482
glucocorticoid receptor agonist,BRD-K47635719
acetylcholine receptor antagonist,BRD-K47639036
cyclooxygenase inhibitor,BRD-K47679368
DNA directed DNA polymerase inhibitor,BRD-K47780086
HIV protease inhibitor,BRD-K47827687
DNA synthesis inhibitor,BRD-K47832606
microtubule inhibitor,BRD-K47869605
tubulin polymerization inhibitor,BRD-K47869605
anthelmintic agent,BRD-K47878171
bacterial DNA gyrase inhibitor,BRD-K47886988
dopamine receptor agonist,BRD-K47936004
adrenergic receptor agonist,BRD-K47949423
acetylcholine receptor antagonist,BRD-K48061146
dipeptidyl peptidase inhibitor,BRD-K48068743
thyroid peroxidase inhibitor,BRD-K48168960
estrogen receptor agonist,BRD-K48195008
estrogenic hormone,BRD-K48195008
contrast agent,BRD-K48247567
hemozoin biocrystallization inhibitor,BRD-K48278478
T-type calcium channel blocker,BRD-K48300629
sodium channel blocker,BRD-K48300629
topoisomerase inhibitor,BRD-K48304345
xanthine oxidase inhibitor,BRD-K48367671
bacterial 30S ribosomal subunit inhibitor,BRD-K48427910
dopamine receptor antagonist,BRD-K48429278
serotonin receptor antagonist,BRD-K48429278
bacterial cell wall synthesis inhibitor,BRD-K48470486
nitric oxide donor,BRD-K48526231
adrenergic receptor agonist,BRD-K48578705
carbonic anhydrase inhibitor,BRD-K48617017
acetylcholine receptor antagonist,BRD-K48619321
adenosine reuptake inhibitor,BRD-K48722258
dopamine receptor antagonist,BRD-K48722833
serotonin receptor antagonist,BRD-K48722833
endothelin receptor antagonist,BRD-K48812570
NFkB pathway inhibitor,BRD-K48892307
prostanoid receptor antagonist,BRD-K48894757
other antibiotic,BRD-K48963429
estrogen receptor antagonist,BRD-K48970916
progesterone receptor agonist,BRD-K48970916
glutathione transferase stimulant,BRD-K49060658
FGFR inhibitor,BRD-K49075727
PDGFR tyrosine kinase receptor inhibitor,BRD-K49075727
VEGFR inhibitor,BRD-K49075727
protein synthesis inhibitor,BRD-K49076555
adrenergic receptor antagonist,BRD-K49111258
Bcr-Abl kinase inhibitor,BRD-K49328571
KIT inhibitor,BRD-K49328571
PDGFR tyrosine kinase receptor inhibitor,BRD-K49328571
SRC inhibitor,BRD-K49328571
ephrin inhibitor,BRD-K49328571
tyrosine kinase inhibitor,BRD-K49328571
PPAR receptor agonist,BRD-K49338325
purine antagonist,BRD-K49350383
cyclooxygenase inhibitor,BRD-K49372556
bacterial 30S ribosomal subunit inhibitor,BRD-K49384696
calcium channel blocker,BRD-K49404994
acetylcholinesterase inhibitor,BRD-K49481516
vitamin D receptor agonist,BRD-K49522529
cytochrome P450 inhibitor,BRD-K49577446
bacterial 50S ribosomal subunit inhibitor,BRD-K49668410
norepinephrine inhibitor,BRD-K49669424
serotonin receptor antagonist,BRD-K49671696
acetylcholine receptor agonist,BRD-K49783248
angiotensin converting enzyme inhibitor,BRD-K49807096
platelet aggregation inhibitor,BRD-K49840922
topoisomerase inhibitor,BRD-K49841478
bacterial cell wall synthesis inhibitor,BRD-K49880111
antioxidant,BRD-K49954789
beta glucuronidase inhibitor,BRD-K49962337
lipase clearing factor inhibitor,BRD-K50050533
androgen biosynthesis inhibitor,BRD-K50071428
cyclooxygenase inhibitor,BRD-K50133271
prostanoid receptor antagonist,BRD-K50133271
histamine receptor antagonist,BRD-K50163129
glucocorticoid receptor agonist,BRD-K50265942
progestogen hormone,BRD-K50276048
PPAR receptor agonist,BRD-K50388907
cyclooxygenase inhibitor,BRD-K50398167
prostanoid receptor antagonist,BRD-K50398167
RNA synthesis inhibitor,BRD-K50406511
GABA receptor antagonist,BRD-K50422030
GABA receptor modulator,BRD-K50422030
TRPV agonist,BRD-K50590187
acetylcholine receptor agonist,BRD-K50677762
glutamate receptor antagonist,BRD-K50720187
acetylcholine receptor antagonist,BRD-K50817623
progesterone receptor agonist,BRD-K50853363
bacterial antifolate,BRD-K50859149
serotonin receptor antagonist,BRD-K50866992
serotonin receptor agonist,BRD-K50938287
sodium channel blocker,BRD-K50938786
cytochrome P450 inhibitor,BRD-K51040301
estrogen receptor agonist,BRD-K51095933
dopamine receptor antagonist,BRD-K51143828
serotonin receptor antagonist,BRD-K51143828
sodium/glucose cotransporter inhibitor,BRD-K51247865
CDK inhibitor,BRD-K51313569
tubulin polymerization inhibitor,BRD-K51318897
estrogen receptor antagonist,BRD-K51350053
selective estrogen receptor modulator (SERM),BRD-K51350053
adrenergic receptor agonist,BRD-K51387999
acetylcholinesterase inhibitor,BRD-K51471001
antioxidant,BRD-K51474575
HIV protease inhibitor,BRD-K51485625
RET tyrosine kinase inhibitor,BRD-K51544265
VEGFR inhibitor,BRD-K51544265
selective serotonin reuptake inhibitor (SSRI),BRD-K51579475
dopamine receptor antagonist,BRD-K51671335
cytochrome P450 inhibitor,BRD-K51677086
protein synthesis inhibitor,BRD-K51677086
ribonucleotide reductase inhibitor,BRD-K51747290
DNA synthesis inhibitor,BRD-K51768138
angiotensin converting enzyme inhibitor,BRD-K51784806
cholinesterase inhibitor,BRD-K51805276
DNA synthesis inhibitor,BRD-K51807679
antioxidant,BRD-K51832961
histamine receptor antagonist,BRD-K51937257
DNA inhibitor,BRD-K52020312
lipase inhibitor,BRD-K52072429
fatty acid synthase inhibitor,BRD-K52075040
tubulin polymerization inhibitor,BRD-K52075715
bacterial cell wall synthesis inhibitor,BRD-K52117081
aromatase inhibitor,BRD-K52172416
membrane integrity inhibitor,BRD-K52256627
antiprotozoal agent,BRD-K52284881
dopamine receptor antagonist,BRD-K52397688
prostanoid receptor agonist,BRD-K52459643
insulin sensitizer,BRD-K52618540
histamine receptor agonist,BRD-K52662033
bacterial 50S ribosomal subunit inhibitor,BRD-K52756523
CFTR channel potentiator,BRD-K52818472
tachykinin antagonist,BRD-K52827117
insulin secretagogue,BRD-K52959329
ATP channel blocker,BRD-K52960356
serotonin transporter (SERT) inhibitor,BRD-K52989797
thromboxane synthase inhibitor,BRD-K53061490
sedative,BRD-K53220666
voltage-gated sodium channel blocker,BRD-K53236343
phosphodiesterase inhibitor,BRD-K53318339
sodium channel blocker,BRD-K53318339
estrogen receptor agonist,BRD-K53319039
CCR agonist,BRD-K53382462
interferon receptor agonist,BRD-K53382462
food preservative,BRD-K53397409
RNA synthesis inhibitor,BRD-K53484294
selective serotonin reuptake inhibitor (SSRI),BRD-K53517854
norepinephrine inhibitor,BRD-K53737926
norepinephrine reuptake inhibitor,BRD-K53737926
serotonin receptor antagonist,BRD-K53737926
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K53737926
sodium/glucose cotransporter inhibitor,BRD-K53765467
glucocorticoid receptor agonist,BRD-K53790871
